symbol,entry_time,exit_time,entry_price,exit_price,pnl,trade_type,exit_reason,,total amnt,tradable ammount,quantity bought,trade amount,absolute profit,exit amnt,charges
HDFCLIFE,08-08-2024 09:15,08-08-2024 10:55,695.85,692.05,-3.8,long,stop_loss,,6294.16156,5000,35,4870.95,-133,4737.95,26.702445
SBIN,08-08-2024 11:05,08-08-2024 11:20,808.5,815.85,7.350000000000023,long,take_profit,,6134.459115,5000,30,4851,220.5,5071.5,26.82603
HDFCBANK,08-08-2024 11:30,08-08-2024 12:15,1641.55,1651,9.450000000000045,long,take_profit,,6328.133085,5000,15,4924.65,141.75,5066.4,27.17913
BAJAJ-AUTO,08-08-2024 12:20,08-08-2024 13:55,9735.1,9682.35,-52.75,long,stop_loss,,6442.703955,5000,2,3894.04,-105.5,3788.54,21.34759
DRREDDY,08-08-2024 14:05,08-08-2024 15:00,6990,6966.7,-23.3,long,stop_loss,,6315.856365,5000,3,4194,-69.9,4124.1,23.020866
NESTLEIND,09-08-2024 09:20,09-08-2024 09:35,2503.1,2495.2,-7.9,long,stop_loss,,6222.935499,5000,9,4505.58,-71.1,4434.48,24.733764
NTPC,09-08-2024 09:40,09-08-2024 10:05,415.8,413.85,-1.95,long,stop_loss,,6127.101735,5000,60,4989.6,-117,4872.6,27.36558
HEROMOTOCO,09-08-2024 11:05,09-08-2024 11:35,5213.2,5203.3,-9.9,long,stop_loss,,5982.736155,5000,4,4170.56,-39.6,4130.96,22.911944
HDFCBANK,09-08-2024 11:40,09-08-2024 13:20,1659.85,1655.2,-4.65,long,stop_loss,,5920.224211,5000,15,4979.55,-69.75,4909.8,27.34149
ADANIPORTS,09-08-2024 13:30,09-08-2024 14:15,1529.6,1534.5,4.900000000000091,long,take_profit,,5823.132721,5000,16,4894.72,78.4,4973.12,26.972704
LT,09-08-2024 14:20,09-08-2024 14:45,3595.2,3587.95,-7.25,long,stop_loss,,5874.560017,5000,6,4314.24,-43.5,4270.74,23.69961
TITAN,09-08-2024 15:10,09-08-2024 15:25,3328.5,3333.75,5.25,long,market_close,,5807.360407,5000,7,4659.9,36.75,4696.65,25.653705
TATAMOTORS,12-08-2024 10:20,13-08-2024 10:05,1078.1,1063.65,-14.45,long,stop_loss,,5818.456702,5000,23,4959.26,-332.35,4626.91,27.056579
HEROMOTOCO,13-08-2024 10:15,13-08-2024 11:15,5379.95,5354.25,-25.7,long,stop_loss,,5459.050123,5000,4,4303.96,-102.8,4201.16,23.603932
TITAN,13-08-2024 11:20,13-08-2024 11:30,3363,3382,19,long,take_profit,,5332.646191,5000,7,4708.2,133,4841.2,25.98288
TITAN,13-08-2024 11:35,13-08-2024 12:00,3376.3,3397.95,21.649999999999636,long,take_profit,,5439.663311,5000,7,4726.82,151.55,4878.37,26.097533
TITAN,13-08-2024 13:35,13-08-2024 14:55,3402,3386.9,-15.1,long,stop_loss,,5565.115778,5000,7,4762.8,-105.7,4657.1,26.125638
HDFCLIFE,13-08-2024 15:05,14-08-2024 09:20,684.65,678.5,-6.15,long,stop_loss,,5433.29014,5000,36,4929.48,-221.4,4708.08,26.966016
HCLTECH,14-08-2024 09:30,14-08-2024 09:45,1614.55,1608.85,-5.7,long,stop_loss,,5184.924124,5000,15,4843.65,-85.5,4758.15,26.583645
TECHM,14-08-2024 09:50,14-08-2024 13:00,1519.55,1511.5,-8.05,long,stop_loss,,5072.840479,5000,16,4862.56,-128.8,4733.76,26.659072
TCS,14-08-2024 13:05,14-08-2024 13:30,4291.7,4275.5,-16.2,long,stop_loss,,4917.381407,5000,5,4291.7,-81,4210.7,23.55089
HINDALCO,14-08-2024 14:10,14-08-2024 15:25,626.5,622.3,-4.2,long,stop_loss,,4812.830517,5000,39,4886.7,-163.8,4722.9,26.768742
